[Arr] Status,[Arr] Routing,[Arr] Airline code,[Arr] Service Type,[Arr] Flight Designator,[Arr] SIBT,[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"In block","UIO-NLU","M7","F","M7 8716","02FEB 21:30","Take off","NLU-BOG","M7","F","M7 8725","02FEB 23:00",
"In block","PVG-NLU","CZ","F","CZ 2661","03FEB 23:00","Take off","NLU-PVG","CZ","F","CZ 2662","04FEB 01:30",
"In block","HRB-NLU","CZ","F","CZ 2659","04FEB 15:45","Take off","NLU-PVG","CZ","F","CZ 2660","04FEB 20:05",
"In block","LAX-NLU","6R","F","6R 7083","04FEB 04:14","Take off","NLU-BOG","6R","F","6R 7083","04FEB 05:44",
"In block","ANC-NLU","CA","F","CA 3125","03FEB 16:50","Take off","NLU-LAX","CA","H","CA 3126","03FEB 19:20",
"In block","ANC-NLU","CZ","F","CZ 2523","02FEB 21:30","Take off","NLU-TYN","CZ","F","CZ 2524","03FEB 00:30",
"In block","SLP-NLU","E7","F","E7 615","04FEB 05:00","Take off","NLU-MID","E7","F","E7 615","04FEB 05:30",
"In block","ANC-NLU","CX","F","CX 3186","03FEB 11:50","Take off","NLU-ANC","CX","F","CX 3083","03FEB 13:50",
"In block","ANC-NLU","CX","F","CX 076","02FEB 18:10","Take off","NLU-GDL","CX","F","CX 077","02FEB 20:10",
"In block","ANC-NLU","CX","F","CX 076","04FEB 10:00","Take off","NLU-GDL","CX","F","CX 077","04FEB 12:00",
"In block","FRA-NLU","LH","F","LH 8224","02FEB 19:10","Take off","NLU-GDL","LH","F","LH 8225","02FEB 22:35",
"In block","ANC-NLU","M7","F","M7 3228","03FEB 07:10","Take off","NLU-LAX","M7","F","M7 3114","04FEB 03:15",
"In block","FRA-NLU","LH","F","LH 8222","03FEB 16:40","Take off","NLU-MTY","LH","F","LH 8223","03FEB 20:00",
"In block","FRA-NLU","LH","F","LH 8220","01FEB 22:40","Take off","NLU-FRA","LH","F","LH 8221","02FEB 01:10",
"In block","PTY-NLU","WH","F","WH 902","03FEB 06:00","Take off","NLU-PTY","WH","F","WH 903","03FEB 07:22",
"In block","FRA-NLU","EK","F","EK 9935","02FEB 02:05","Take off","NLU-UIO","EK","F","EK 9914","02FEB 04:35",
"In block","GDL-NLU","CV","F","CV 5162","03FEB 00:20","Take off","NLU-LUX","CV","F","CV 5162","03FEB 02:20",
"In block","GDL-NLU","CV","F","CV 5933","04FEB 11:45","Take off","NLU-LUX","CV","F","CV 5933","04FEB 13:45",
"In block","BOG-NLU","6R","F","6R 4260","04FEB 16:29","Take off","NLU-LAX","6R","F","6R 4260","04FEB 17:59",
"In block","ANC-NLU","A7","F","A7 902","03FEB 07:40","Take off","NLU-MID","A7","F","A7 820","03FEB 09:05",
"In block","ANC-NLU","A7","F","A7 916","03FEB 15:50","Take off","NLU-VCP","A7","F","A7 828","03FEB 16:50",
"In block","ANC-NLU","M7","F","M7 322","03FEB 09:00","Take off","NLU-UIO","M7","F","M7 8723","03FEB 11:00",
"In block","BOG-NLU","6R","F","6R 4258","04FEB 00:25","Take off","NLU-LAX","6R","F","6R 4258","04FEB 01:55",
"In block","GDL-NLU","6R","F","6R 7081","03FEB 13:38","Take off","NLU-MIA","6R","F","6R 7020","03FEB 15:15",
"In block","BOG-NLU","6R","F","6R 4256","03FEB 14:48","Take off","NLU-LAX","6R","F","6R 4256","03FEB 16:59",
