[Arr] Status,[Arr] Routing,[Arr] Airline code,[Arr] Service Type,[Arr] Flight Designator,[Arr] SIBT,[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"In block","TQO-NLU","XN","J","XN 1783","01FEB 19:10","Take off","NLU-TIJ","XN","J","XN 1204","01FEB 21:55",
"In block","DGO-NLU","AM","J","AM 2469","01FEB 21:17","Take off","NLU-MTY","AM","J","AM 998","01FEB 21:57",
"In block","VER-NLU","VB","J","VB 7435","01FEB 21:30","Take off","NLU-CJS","VB","J","VB 7435","01FEB 22:10",
"In block","PXM-NLU","VB","J","VB 7283","01FEB 22:10","Take off","NLU-MID","VB","J","VB 7283","01FEB 22:50",
"In block","TIJ-NLU","Y4","J","Y4 3296","01FEB 22:37","Take off","NLU-TIJ","Y4","J","Y4 3297","01FEB 23:19",
"In block","GDL-NLU","Y4","J","Y4 1292","01FEB 20:28","Take off","NLU-BOG","Y4","J","Y4 3960","02FEB 00:36",
"In block","PVR-NLU","XN","J","XN 1445","01FEB 21:10","Take off","NLU-MTY","XN","J","XN 1100","02FEB 06:00",
"In block","GDL-NLU","VB","J","VB 9523","01FEB 22:30","Take off","NLU-GDL","VB","J","VB 9520","02FEB 06:00",
"In block","SJD-NLU","VB","J","VB 9497","01FEB 23:20","Take off","NLU-MTY","VB","J","VB 7382","02FEB 06:00",
"In block","MID-NLU","VB","J","VB 9411","01FEB 23:40","Take off","NLU-CUN","VB","J","VB 2281","02FEB 06:20",
"In block","MID-NLU","Y4","J","Y4 7111","01FEB 21:53","Take off","NLU-GDL","Y4","J","Y4 1291","02FEB 06:30",
"In block","GDL-NLU","XN","J","XN 1437","01FEB 23:00","Take off","NLU-GDL","XN","J","XN 1430","02FEB 06:30",
"In block","QRO-NLU","VB","J","VB 771","02FEB 05:15","Take off","NLU-PXM","VB","J","VB 9222","02FEB 06:40",
"In block","MTY-NLU","XN","J","XN 1107","01FEB 22:55","Off block","NLU-MID","XN","J","XN 1760","02FEB 06:50",
"In block","CUN-NLU","VB","J","VB 2288","01FEB 23:50","Take off","NLU-CEN","VB","J","VB 9480","02FEB 06:50",
"In block","MTY-NLU","VB","J","VB 9405","02FEB 00:25","Take off","NLU-TIJ","VB","J","VB 5069","02FEB 08:00",
"In block","GDL-NLU","VB","J","VB 7240","02FEB 07:15","Take off","NLU-TQO","VB","J","VB 7240","02FEB 08:00",
"In block","SLP-NLU","ZV","J","ZV 341","02FEB 07:30","Take off","NLU-CVM","ZV","J","ZV 362","02FEB 08:00",
"In block","BJX-NLU","VB","J","VB 7344","02FEB 07:30","Take off","NLU-CUU","VB","J","VB 7344","02FEB 08:00",
"In block","MTY-NLU","VB","J","VB 7332","02FEB 07:35","Take off","NLU-VSA","VB","J","VB 7332","02FEB 08:05",
"In block","GDL-NLU","AM","J","AM 287","02FEB 07:35","Take off","NLU-TQO","AM","J","AM 592","02FEB 08:16",
"In block","HMO-NLU","VB","J","VB 9305","01FEB 20:05","Take off","NLU-NLD","VB","J","VB 9450","02FEB 08:20",
"In block","VER-NLU","AM","J","AM 871","02FEB 07:44","Take off","NLU-CLQ","AM","J","AM 2436","02FEB 08:24",
"In block","CUN-NLU","VB","J","VB 2278","01FEB 21:50","Take off","NLU-LAP","VB","J","VB 9298","02FEB 08:30",
"In block","CUN-NLU","VB","J","VB 2272","02FEB 07:30","Take off","NLU-CUN","VB","J","VB 2273","02FEB 08:30",
"In block","MID-NLU","VB","J","VB 7350","02FEB 07:55","Take off","NLU-PVR","VB","J","VB 7350","02FEB 08:35",
"In block","MZT-NLU","XN","J","XN 1265","01FEB 20:35","Take off","NLU-TQO","XN","J","XN 1780","02FEB 08:50",
"In block","GDL-NLU","VB","J","VB 9521","02FEB 09:15","Take off","NLU-ZIH","VB","J","VB 9312","02FEB 10:00",
"In block","TIJ-NLU","XN","J","XN 1205","02FEB 05:30","Take off","NLU-CPE","XN","J","XN 1700","02FEB 10:30",
"In block","PXM-NLU","VB","J","VB 9223","02FEB 09:50","Take off","NLU-HUX","VB","J","VB 9294","02FEB 10:35",
"In block","MTY-NLU","XN","J","XN 1101","02FEB 09:40","Take off","NLU-SJD","XN","J","XN 1232","02FEB 10:40",
"In block","GDL-NLU","Y4","J","Y4 1290","02FEB 09:43","Take off","NLU-CUN","Y4","J","Y4 3533","02FEB 10:44",
"In block","GDL-NLU","XN","J","XN 1431","02FEB 09:30","Take off","NLU-CVM","XN","J","XN 1142","02FEB 11:00",
"In block","MTY-NLU","VB","J","VB 9401","02FEB 10:20","Take off","NLU-MTY","VB","J","VB 9402","02FEB 11:05",
"In block","TIJ-NLU","VB","J","VB 7428","02FEB 11:15","Take off","NLU-TGZ","VB","J","VB 7428","02FEB 11:55",
"In block","MID-NLU","XN","J","XN 1761","02FEB 11:10","Take off","NLU-IZT","XN","J","XN 1992","02FEB 12:10",
"In block","BOG-NLU","Y4","J","Y4 3961","02FEB 10:49","Take off","NLU-SJD","Y4","J","Y4 7120","02FEB 12:14",
"In block","VSA-NLU","VB","J","VB 7333","02FEB 11:45","Take off","NLU-MTY","VB","J","VB 7333","02FEB 12:20",
"In block","CLQ-NLU","AM","J","AM 2437","02FEB 11:43","Take off","NLU-MID","AM","J","AM 878","02FEB 12:23",
"In block","CUN-NLU","VB","J","VB 7416","02FEB 12:00","Take off","NLU-CUL","VB","J","VB 7416","02FEB 12:50",
"In block","PVR-NLU","VB","J","VB 7351","02FEB 12:20","Take off","NLU-MID","VB","J","VB 7351","02FEB 13:00",
"In block","CEN-NLU","VB","J","VB 9481","02FEB 12:10","Take off","NLU-CUN","VB","J","VB 2283","02FEB 13:10",
"In block","NLD-NLU","VB","J","VB 9451","02FEB 12:05","Take off","NLU-SLW","VB","J","VB 9394","02FEB 13:35",
"In block","CUU-NLU","VB","J","VB 7345","02FEB 13:05","Take off","NLU-BJX","VB","J","VB 7345","02FEB 13:35",
