Status,[Arr] Airline code,[Arr] Flight Designator,[Arr] ALDT,[Arr] SIBT,[Arr] AIBT,[Arr] Stand,[Arr] Gates,[Arr] Boarded,[Arr] Baggage Belts,[Arr] Service Type,Routing,[Dep] Service Type,Aircraft type,Registration,[Dep] Airline code,[Dep] Flight Designator,[Dep] Stand,[Dep] Gates,[Dep] Boarded,[Dep] SOBT,[Dep] AOBT,[Dep] ATOT,[Dep] ATTT
"Billing validated","M7","M7 6711","14FEB 19:05","14FEB 19:10","14FEB 19:15","115","","0","---","X","UIO-NLU-LAX","X","333","9HVDC","M7","M7 6810","115","","0","14FEB 21:00","14FEB 20:43","14FEB 21:03","88'",
"Billing validated","XN","XN 1765","14FEB 20:02","14FEB 20:00","14FEB 20:11","108A","108A","66","1","J","MID-NLU-TIJ","J","E95","XAMXE","XN","XN 1204","108A","108A","52","14FEB 21:55","14FEB 21:55","14FEB 22:06","104'",
"Billing validated","Y4","Y4 3296","14FEB 22:30","14FEB 22:37","14FEB 22:36","108B","108B","214","2","J","TIJ-NLU-TIJ","J","320","XAVUN","Y4","Y4 3297","108B","108B","174","14FEB 23:19","14FEB 23:34","14FEB 23:45","57'",
"Billing validated","ET","ET 3516","14FEB 22:04","14FEB 22:00","14FEB 22:10","607","","0","---","F","ZAZ-NLU-BOG","F","77F","ETBAB","ET","ET 3516","607","","0","15FEB 00:00","15FEB 02:41","15FEB 02:55","270'",
"Billing validated","Y4","Y4 7171","14FEB 20:21","14FEB 20:23","14FEB 20:30","112A","112A","144","2","J","LAP-NLU-BOG","J","320","N521VL","Y4","Y4 3960","112A","112A","144","15FEB 00:36","15FEB 00:30","15FEB 00:40","240'",
"Billing validated","Y8","Y8 7461","14FEB 18:31","14FEB 21:45","14FEB 18:41","606","","0","---","H","ANC-NLU-ANC","H","747/74Y","B2437","Y8","Y8 7462","606","","0","15FEB 00:45","14FEB 21:02","14FEB 21:20","141'",
"Billing validated","6R","6R 7085","14FEB 22:53","14FEB 22:01","14FEB 23:05","608","","0","---","F","GDL-NLU-LAX","F","333","N337QT","6R","6R 7084","608","","0","15FEB 01:00","15FEB 01:42","15FEB 02:01","156'",
"Billing validated","CX","CX 086","14FEB 23:48","14FEB 23:25","14FEB 23:54","609","","0","---","F","ANC-NLU-ANC","F","74N","BLJD","CX","CX 3083","609","","0","15FEB 01:25","15FEB 02:28","15FEB 02:51","154'",
"Billing validated","M7","M7 8372","14FEB 22:27","14FEB 23:30","14FEB 22:31","606","","0","---","F","BOG-NLU-LAX","F","333","EIMAF","M7","M7 6870","606","","0","15FEB 01:30","15FEB 01:25","15FEB 01:42","174'",
"Billing validated","EK","EK 9915","15FEB 01:57","15FEB 01:50","15FEB 02:00","605","","0","---","F","ZAZ-NLU-UIO","F","77F","A6EFZ","EK","EK 9915","605","","0","15FEB 05:05","15FEB 04:30","15FEB 04:53","149'",
