Status,[Arr] Airline code,[Arr] Flight Designator,[Arr] ALDT,[Arr] SIBT,[Arr] AIBT,[Arr] Stand,[Arr] Gates,[Arr] Boarded,[Arr] Baggage Belts,[Arr] Service Type,Routing,[Dep] Service Type,Aircraft type,Registration,[Dep] Airline code,[Dep] Flight Designator,[Dep] Stand,[Dep] Gates,[Dep] Boarded,[Dep] SOBT,[Dep] AOBT,[Dep] ATOT,[Dep] ATTT
"Departed from previous airport","VB","VB 9405","---","27JAN 19:35","---","112A","112A","","1","J","MTY-NLU-GDL","J","321","XAVBW","VB","VB 9520","112A","112A","","28JAN 06:00","","","",
"In block","M7","M7 6412","26JAN 07:45","26JAN 08:45","26JAN 07:50","601","","0","---","F","VCP-NLU","","333","9HVDC","","","","","","","","","",
"In block","XN","XN 1233","26JAN 15:29","26JAN 15:25","26JAN 15:37","109B","109B","56","3","J","SJD-NLU","","E95","XAMXA","","","","","","","","","",
"In block","AM","AM 591","26JAN 11:44","26JAN 11:56","26JAN 11:53","134B","134B","128","3","J","CUN-NLU","","738","N958AM","","","","","","","","","",
"TOBT confirmation","VB","VB 2288","26JAN 23:44","26JAN 23:50","26JAN 23:50","112B","112B","79","2","J","CUN-NLU-CUU","J","321","XAVCF","VB","VB 7344","505","105","","27JAN 08:00","","","",
"Off block","VB","VB 9523","26JAN 22:02","26JAN 22:10","26JAN 22:06","112A","112A","79","1","J","GDL-NLU-HAV","J","32A","XAVAQ","VB","VB 842","112A","112A","","27JAN 06:00","27JAN 05:59","","472'",
"Take off","M7","M7 3228","25JAN 18:55","25JAN 19:35","25JAN 19:07","608","","0","---","F","ANC-NLU-UIO","F","332","EIMAA","M7","M7 8723","602D","","0","26JAN 07:35","26JAN 07:26","26JAN 07:43","738'",
"Take off","VB","VB 9395","26JAN 16:55","26JAN 17:15","26JAN 17:13","112A","112A","137","1","J","SLW-NLU-BOG","J","32N","XAVIU","VB","VB 770","112A","112A","118","26JAN 19:00","26JAN 18:51","26JAN 19:25","98'",
"Take off","VB","VB 7435","26JAN 22:13","26JAN 21:20","26JAN 22:20","502","102","85","2","J","VER-NLU-CJS","J","32A","XAVAC","VB","VB 7435","502","102","181","26JAN 21:50","26JAN 22:56","26JAN 23:05","36'",
"Take off","XN","XN 1765","26JAN 19:58","26JAN 20:00","26JAN 20:09","108B","108B","83","3","J","MID-NLU-TIJ","J","E95","XAMXD","XN","XN 1204","108B","108B","71","26JAN 21:55","26JAN 22:00","26JAN 22:07","111'",
