[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Take off","NLU-CJS","VB","J","VB 7435","18JAN 21:50",
"Take off","NLU-TIJ","XN","J","XN 1204","18JAN 21:55",
"Take off","NLU-MID","VB","J","VB 7283","18JAN 22:50",
"Take off","NLU-TIJ","Y4","J","Y4 3297","18JAN 22:58",
"Take off","NLU-BOG","Y4","J","Y4 3960","19JAN 00:36",
"Take off","NLU-GDL","VB","J","VB 9520","19JAN 06:00",
"Take off","NLU-MTY","VB","J","VB 7382","19JAN 06:00",
"Take off","NLU-MTY","XN","J","XN 1100","19JAN 06:00",
"Take off","NLU-CUN","VB","J","VB 2281","19JAN 06:15",
"Take off","NLU-GDL","XN","J","XN 1430","19JAN 06:30",
"Take off","NLU-GDL","Y4","J","Y4 1291","19JAN 06:30",
"Take off","NLU-PXM","VB","J","VB 9222","19JAN 06:40",
"Take off","NLU-CEN","VB","J","VB 9480","19JAN 06:50",
"Take off","NLU-MID","XN","J","XN 1760","19JAN 06:50",
"Take off","NLU-TQO","VB","J","VB 7240","19JAN 07:45",
"Take off","NLU-CVM","ZV","J","ZV 362","19JAN 08:00",
"Take off","NLU-CUU","VB","J","VB 7344","19JAN 08:00",
"Take off","NLU-TIJ","VB","J","VB 5069","19JAN 08:00",
"Take off","NLU-VSA","VB","J","VB 7332","19JAN 08:05",
"Take off","NLU-TQO","AM","J","AM 592","19JAN 08:16",
"Take off","NLU-NLD","VB","J","VB 9450","19JAN 08:20",
"Take off","NLU-CLQ","AM","J","AM 2436","19JAN 08:24",
"Take off","NLU-LAP","VB","J","VB 9298","19JAN 08:30",
"Take off","NLU-CUN","VB","J","VB 2273","19JAN 08:30",
"Take off","NLU-PVR","VB","J","VB 7350","19JAN 08:35",
"Take off","NLU-TQO","XN","J","XN 1780","19JAN 08:50",
"Take off","NLU-ZIH","VB","J","VB 9312","19JAN 10:00",
"Take off","NLU-CPE","XN","J","XN 1700","19JAN 10:30",
"Take off","NLU-HUX","VB","J","VB 9294","19JAN 10:35",
"Take off","NLU-SJD","XN","J","XN 1232","19JAN 10:40",
"Take off","NLU-CUN","Y4","J","Y4 3533","19JAN 10:44",
"Take off","NLU-CVM","XN","J","XN 1142","19JAN 11:00",
"Take off","NLU-MTY","VB","J","VB 9402","19JAN 11:05",
"Take off","NLU-TGZ","VB","J","VB 7428","19JAN 11:45",
"Take off","NLU-IZT","XN","J","XN 1992","19JAN 12:10",
"Take off","NLU-SJD","Y4","J","Y4 7120","19JAN 12:14",
"Take off","NLU-MTY","VB","J","VB 7333","19JAN 12:20",
"Take off","NLU-MID","AM","J","AM 878","19JAN 12:23",
"Take off","NLU-CUL","VB","J","VB 7416","19JAN 12:45",
"Take off","NLU-MID","VB","J","VB 7351","19JAN 13:00",
"Take off","NLU-CUN","VB","J","VB 2283","19JAN 13:05",
"Take off","NLU-GDL","VB","J","VB 7241","19JAN 13:10",
"Take off","NLU-BJX","VB","J","VB 7345","19JAN 13:35",
"Take off","NLU-SLW","VB","J","VB 9394","19JAN 13:35",
"Take off","NLU-MZT","VB","J","VB 9234","19JAN 13:40",
"Take off","NLU-PVR","XN","J","XN 1442","19JAN 14:35",
"Take off","NLU-MAM","VB","J","VB 9532","19JAN 14:45",
"Take off","NLU-OAX","VB","J","VB 7008","19JAN 15:40",
"Take off","NLU-MID","XN","J","XN 1764","19JAN 15:40",
"Take off","NLU-MTY","VB","J","VB 7820","19JAN 15:50",
"Take off","NLU-TIJ","VB","J","VB 7429","19JAN 16:25",
"Take off","NLU-ACA","VB","J","VB 9296","19JAN 16:30",
"Take off","NLU-MZT","XN","J","XN 1264","19JAN 16:45",
"Take off","NLU-SLP","ZV","J","ZV 340","19JAN 17:10",
"Take off","NLU-GDL","Y4","J","Y4 1293","19JAN 17:15",
"Take off","NLU-CUN","AM","J","AM 596","19JAN 17:41",
"Take off","NLU-MID","Y4","J","Y4 7110","19JAN 17:43",
"Take off","NLU-MTY","VB","J","VB 4411","19JAN 18:00",
"Take off","NLU-TAM","VB","J","VB 7304","19JAN 18:10",
"Take off","NLU-CUN","VB","J","VB 7417","19JAN 18:10",
"Take off","NLU-VER","VB","J","VB 7434","19JAN 18:25",
"Take off","NLU-SJD","VB","J","VB 9496","19JAN 18:25",
"Take off","NLU-HMO","VB","J","VB 9304","19JAN 18:30",
"Take off","NLU-OAX","AM","J","AM 2042","19JAN 18:35",
"Take off","NLU-MTY","VB","J","VB 4413","19JAN 18:35",
"Take off","NLU-PXM","VB","J","VB 7282","19JAN 18:50",
"Take off","NLU-BOG","VB","J","VB 770","19JAN 19:00",
"Take off","NLU-GDL","VB","J","VB 9522","19JAN 19:00",
"Take off","NLU-CUN","VB","J","VB 7009","19JAN 19:00",
"Take off","NLU-MTY","XN","J","XN 1106","19JAN 19:20",
"Take off","NLU-MID","VB","J","VB 9410","19JAN 19:25",
"Take off","NLU-DGO","AM","J","AM 2600","19JAN 19:45",
"Take off","NLU-GDL","XN","J","XN 1436","19JAN 20:00",
"Take off","NLU-GDL","AM","J","AM 284","19JAN 20:54",
"Take off","NLU-PVR","AM","J","AM 880","19JAN 21:30",
"Take off","NLU-VER","AM","J","AM 872","19JAN 21:30",
"Take off","NLU-GDL","VB","J","VB 7305","19JAN 21:30",
"Take off","NLU-CJS","VB","J","VB 7435","19JAN 21:50",
"Take off","NLU-TIJ","XN","J","XN 1204","19JAN 21:55",
"Take off","NLU-MID","VB","J","VB 7283","19JAN 22:50",
"Take off","NLU-TIJ","Y4","J","Y4 3297","19JAN 23:19",
"Take off","NLU-SDQ","DM","J","DM 4159","19JAN 23:44",
"Take off","NLU-MTY","AM","J","AM 998","20JAN 00:04",
"Take off","NLU-MTY","XN","J","XN 1100","20JAN 06:00",
