Registration,Aircraft Type,Aircraft Owner,Max Capacity,Usage,MTOW,Winglets,Aircraft Groups
N851GT,74N,5Y,0,CIVILIAN,447700,false,Atlas Air Cargo
YV2953,E90,V0,97,CIVILIAN,43000,false,Conviasa
XAVBZ,32Q,VB,236,CIVILIAN,79200,true,Viva Aerobus
XAVSE,32N,Y4,194,CIVILIAN,79000,false,Volaris
N376UP,763,5X,282,CIVILIAN,187000,false,UPS Cargo
B2091,77F,CA,0,CIVILIAN,766800,false,Air China Cargo
CCDBO,32N,VB,194,CIVILIAN,79000,false,Viva Aerobus
XAVCS,CRJ,SM,50,CIVILIAN,49999,false,TSM Airlines
9HSWC,32A,VB,180,CIVILIAN,64500,true,Viva Aerobus
N680BR,CRJ,SM,50,CIVILIAN,49999,false,TSM Airlines
HP1835,73H,CM,160,CIVILIAN,66400,true,Copa Airlines
XAVUS,32N,Y4,194,CIVILIAN,79000,false,Volaris
HP1990WWP,73K,WH,189,CIVILIAN,66350,false,La Nueva Aerolinea (Copa Airlines Cargo)
XAAMD,73K,AM,189,CIVILIAN,66350,false,Aeromexico Connect
XAVHA,CR2,SM,50,CIVILIAN,20000,false,TSM Airlines
N389UP,763,,282,,187000,false,UPS Cargo
XAVSB,321,Y4,185,CIVILIAN,94000,false,Volaris
XAVSK,32Q,Y4,199,CIVILIAN,213800,false,Volaris
N382UP,76F,5X,0,CIVILIAN,147871,true,UPS Cargo
XAVUJ,32Q,Y4,199,CIVILIAN,213800,false,Volaris
TCJDO,332,TK,0,CIVILIAN,187000,false,Turkish Airlines Cargo
CFLPA,75F,W8,0,CIVILIAN,89800,true,Cargojet Airways
N324UP,76F,5X,0,CIVILIAN,147871,true,UPS Cargo
N479AM,73K,AM,189,CIVILIAN,66350,false,Aeromexico Connect
N343UP,76F,5X,0,CIVILIAN,147871,true,UPS Cargo
B2096,77F,CA,0,CIVILIAN,766800,false,Air China Cargo
N330QT,332,AV,260,CIVILIAN,242000,false,Aerounion Cargo
N328UP,76F,5X,0,CIVILIAN,147871,true,UPS Cargo
LXVCE,74N,CV,0,CIVILIAN,447700,false,Cargolux Airlines International
A7BFS,77F,QR,0,CIVILIAN,260815,false,Qatar Cargo
XASFH,ER4,YQ,44,CIVILIAN,19300,false,TAR
B222W,77F,CZ,0,CIVILIAN,766800,false,China Southern Airlines Cargo
XAVRX,32N,Y4,186,CIVILIAN,67400,false,Volaris
N815SY,73K,SY,168,CIVILIAN,79000,false,Sun Country Airlines
XAACJ,E90,5D,97,CIVILIAN,44000,false,Aeromexico Connect
N313UP,76F,5X,0,CIVILIAN,147871,true,UPS Cargo
XAVMD,32N,VB,194,CIVILIAN,79000,false,Viva Aerobus
N407KZ,74Y,5Y,0,CIVILIAN,910000,false,Atlas Air Cargo
N569CA,744,N8,500,CIVILIAN,396893,false,National Airlines Cargo
A7BTA,77F,QR,0,CIVILIAN,260815,false,Qatar Cargo
XAVGY,734,SM,156,CIVILIAN,69000,false,TSM Airlines
CCCXE,763,M3,282,CIVILIAN,187000,false,Latam Cargo
XAAAC,E90,5D,99,CIVILIAN,44000,false,Aeromexico Connect
HP1840,73H,CM,160,CIVILIAN,66400,true,Copa Airlines
XAACE,E90,5D,99,CIVILIAN,44000,false,Aeromexico Connect
N722GT,77F,5Y,0,CIVILIAN,766800,false,Atlas Air Cargo
XAACC,E90,5D,99,CIVILIAN,44000,false,Aeromexico Connect
CGPAJ,763,W8,282,CIVILIAN,187000,false,Cargolux Airlines International
XAACI,E90,5D,99,CIVILIAN,44000,false,Aeromexico Connect
XAVSC,32Q,Y4,199,CIVILIAN,213800,false,Volaris
XAACK,E90,5D,99,CIVILIAN,44000,false,Aeromexico Connect
HP1718,73H,CM,166,CIVILIAN,66400,true,Copa Airlines
N486MC,74Y,5Y,0,CIVILIAN,910000,false,Atlas Air Cargo
XAACM,E90,5D,99,CIVILIAN,44000,false,Aeromexico Connect
