IATA,ICAO,Name,Country,City,Security level
RIV,KRIV,March Air Reserve Base,United States,Riverside,International
PVG,ZSPD,Shanghai Pudong International Airport,China,Shanghai,
NAP,LIRN,Naples Capodichino,Italy,NAPLES,
CLO,SKCL,Alfonso Bonilla Aragón International Airport,Colombia,CALI,International
CLQ,MMIA,Licenciado Miguel de la Madrid Airport,Mexico,COLIMA,Domestic
JJC,MMJC,DR JORGE JIMENEZ CANTU,Mexico,ATIZAPAN DE ZARAGOZA,Domestic
GDL,MMGL,Guadalajara Miguel Hidalgo Y Costilla Int&#39;l,Mexico,GUADALAJARA,Domestic
NRT,RJAA,Narita International,Japan,TOKYO,International
BJX,MMLO,El Bajio,Mexico,BAJIO ,Domestic
SLC,KSLC,Salt Lake City International,United States,SALT LAKE CITY,International
CLT,KCLY,Charlotte Douglas International,United States,CHARLOTTE,International
PVR,MMPR,Licenciado Gustavo Ordaz,Mexico,PUERTO VALLARTA,Domestic
SLP,MMSP,Ponciano Arriaga International,Mexico,SAN LUIS POTOSI,Domestic
DOC,,Dornoch Airfield,United Kingdom,DORNOCH,International
UPN,MMPN,Uruapan International Airport,Mexico,URUAPAN,Domestic
GUA,MGGT,La Aurora International,Guatemala,GUATEMALA CITY,International
FBO,,FBO NLU,,,
CMH,KCMH,John Glenn Columbus International Airport,United States,COLUMBUS,International
SLW,MMIO,Aeropuerto Internacional de Saltillo,Mexico,SALTILLO,Domestic
YHM,CYHM,Hamilton International Airport,United States,Hamilton,International
CME,MMCE,Ciudad Del Carmen Int&#39;l,Mexico,CIUDAD DEL CARMEN,Domestic
DOH,OTHH,Hamad International Airport,Qatar,Hamad,
AZA,KIWA,Phoenix–Mesa Gateway Airport,United States,Phoenix,International
VSA,MMVA,Carlos Rovirosa Perez Int&#39;l,Mexico,VILLAHERMOSA,Domestic
CMN,GMMN, Aeropuerto Internacional Mohammed V,Morocco,CASABLANCA,
MAD,LEMD,Adolfo Suarez Madrid Barajas Int&#39;l,Spain,MADRID,International
DOV,KDOV,Dover AFB Airport,United Kingdom,DOVER,International
YHZ,CYHZ,Halifax,Canada,HALIFAX,International
SMF,KSMF,Sacramento Int&#39;l,United States,SACRAMENTO,International
BLB,MPPA,Panamá Pacífico International Airport,Panama,"Panama, Ciudad de",International
MAM,MMMA,General Servando Canales Int&#39;l,Mexico,MATAMOROS,Domestic
HGR,KHGR,Hagerstown Regional Airport,United States,WASHINGTON,International
YYT,CYYT,St. Jhon´s International Airport,,,
ORB,ESOE,Örebro Airport,Sweden,OREBRO,
GRK,KGRK,Robert Gray Army Airfield,United States,Texas,International
ORD,KORD,OHare Internationa,United States,CHICAGO,International
OAX,MMOX,Xoxocotlan International,Mexico,OAXACA,Domestic
FPO,MYGF,Freeport Grand Bahama International Airport,,,
GRU,SBGR,Sao Paulo Guarulhos,Brazil,SAO PAULO,International
TLC,MMTO,A.I. Lic. Adolfo López Mateos,Mexico,Toluca,Domestic
SJC,KSJC,San Jose California International,United States,SAN JOSE,International
CJS,MMCS,Abraham Gonzalez Int&#39;l,Mexico,CIUDAD JUAREZ,Domestic
SJD,MMSD,Los Cabos International,Mexico,SAN JOSE DEL CABO,Domestic
WAW,EPWA,Warsaw Chopin Airport,Poland,WARSAW,
SJO,MROC,Juan Santamaria International,United States,SAN JOSE,International
AFW,KAFW,Perot Field Fort Worth Alliance Airport,United States,,International
SZY,EPSY,Olsztyn-Mazury Airport,Poland,,
PTY,MPTO,Tocumen International,Panama,PANAMA CITY,International
YVR,CYVR,Vancouver Int&#39;l,Canada,VANCOUVER,International
SJU,TJSJ,Luis Muñoz Marín International Airport,Puerto Rico,,
PDS,MMPG,Piedras Negras International,Mexico,PIEDRAS NEGRAS,Domestic
BIF,KBIF,Biggs Army Airfield,United States,Texas,International
OSL,ENGM,"Oslo-Gardermoen, Oslo, Nor.",Norway,OSLO,
YWG,CYWG,Aeropuerto Internacional de Winnipeg,Canada,Winnipeg Manitoba,International
GSO,KGSO,Piedmont Triad International Airport,Brazil,CAROLINA,International
PDX,KPDX,Portland International Airport,United States,Portland,International
GSP,KGSP,Aeropuerto Internacional Greenville,United States,GREENVILLE,International
PUJ,MDPC,Punta Cana International Airport,Dominican Republic,PUNTA CANA,International
FAI,PAFA,Fairbanks International Airport,United States,,International
AGU,MMAS,Lic. Jesus Teran Aguascalientes,Mexico,AGUASCALIENTES,Domestic
OST,EBOS,Ostend Bruges International,Belgium,OOSTENDE BRUGGE,International
TMC,WATK,Tambolaka Airport,,,
HUX,MMBT,Bahias de Huatulco Int&#39;l,Mexico,HUATULCO,Domestic
LMM,MMLM,AEROPUERTO FEDERAL DEL VALLE DEL FUERTE,Mexico,LOS MOCHIS,Domestic
FAT,KFAT,Frezno Yosemite International,United States,Fresno,International
ZIH,MMZH,Ixtapa Zihuatanejo International,Mexico,IXTAPA ZIHUATANEJO,Domestic
FRA,EDDF,Frankfurt,Germany,FRANKFURT,International
PAP,MTPP,Toussaint Louverture Aeropuerto Internacional,Haiti,,
