Name,IATA code,UN code,Time zone,Latitude,Longitude,Country
WASU,WSU,WSU,Pacific/Port_Moresby,-6,147.25,Papua New Guinea
NARACOORTE,NAC,NAC,Australia/Adelaide,-36.96667,140.5833,Australia
NARRABRI,NAA,NAA,Australia/Sydney,-30.33333,149.8333,Australia
Gatton,,GAN,Australia/Brisbane,-27.33,152.17,Australia
GAN ISLAND,GAN,GAN,Indian/Maldives,0.5,73.26667,Maldives
NIZHNEKAMSK,NBC,NBC,Europe/Moscow,55.56667,52.1,Russian Federation
BARRANCO MINAS,NBB,NBB,America/Bogota,3.33333,-70.33333,Colombia
NAMBAIYUFA,NBA,NBA,Pacific/Port_Moresby,-6.25,145.2333,Papua New Guinea
STAR HARBOUR,NAZ,NAZ,Pacific/Guadalcanal,-10.38667,162.1219,Solomon Islands
BARBERS POINT,NAX,NAX,Pacific/Honolulu,21.31667,-158,United States
NARATHIWAT,NAW,NAW,Asia/Bangkok,6.41667,101.8,Thailand
NEVSEHIR,NAV,NEV,Europe/Istanbul,38.76667,34.54167,Turkey
Nagaur,,NAU,Asia/Calcutta,27.12,73.44,India
NATAL,NAT,NAT,America/Fortaleza,-5.83333,-35.2,Brazil
NASSAU,NAS,NAS,America/Nassau,25.05,-77.46667,Bahamas
NARE,NAR,NAR,America/Bogota,6.2,-74.61667,Colombia
QAANAAQ,NAQ,NAQ,America/Thule,76.5,-69,Greenland
NAPLES,NAP,NAP,Europe/Rome,40.88444,14.29083,Italy
NANCHONG,NAO,NAO,Asia/Chongqing,30.8,106.0667,China
NADI,NAN,NAN,Pacific/Fiji,-17.75,177.45,Fiji
NAMLEA,NAM,NAM,Asia/Jayapura,-3.3,127.1,Indonesia
Biberach,,BIB,Europe/Berlin,48.2,8.02,Germany
Bielsko-Biala,,BIB,Europe/Warsaw,,,Poland
NALCHIK,NAL,NAL,Europe/Moscow,43.53333,43.7,Russian Federation
NAKHON RATCHASIMA,NAK,NAK,Asia/Bangkok,14.96667,102.1167,Thailand
NAKCHIVAN,NAJ,NAJ,Asia/Baku,39.19028,45.45889,Azerbaijan
ANNAI,NAI,NAI,America/Guyana,3.75,-59,Guyana
TAHUNA,NAH,NAH,Asia/Makassar,-1.18333,123.8167,Indonesia
NAGPUR,NAG,NAG,Asia/Calcutta,21.08333,79.05,India
BANAINA,NAF,NAF,Asia/Makassar,2.75,117.05,Indonesia
NATITINGOU,NAE,NAE,Africa/Porto-Novo,10.31667,1.36667,Benin
MACANAL,NAD,NAD,America/Bogota,2.56667,-67.58333,Colombia
MONKEY BAY,MYZ,MYZ,Africa/Blantyre,-14.1,34.53333,Malawi
MIRI,MYY,MYY,Asia/Kuala_Lumpur,4.45,114,Malaysia
MENYAMYA,MYX,MYX,Pacific/Port_Moresby,-7.2,146.0167,Papua New Guinea
MTWARA,MYW,MYW,Africa/Dar_es_Salaam,-10.35,40.18333,"Tanzania, United Republic of"
MARYSVILLE,MYV,MYV,America/Los_Angeles,39.1,-121.5667,United States
MEKORYUK,MYU,MYU,America/Anchorage,60.38333,-166.2,United States
MYITKYINA,MYT,MYT,Asia/Rangoon,25.46667,97.43333,Myanmar
MYRTLE BEACH,MYR,MYR,America/New_York,33.7,-78.96667,United States
MYSORE,MYQ,MYQ,Asia/Calcutta,12.3,76.65,India
MARY,MYP,MYP,Asia/Ashgabat,37.6,61.83333,Turkmenistan
MYROODAH STATION,MYO,MYO,Australia/Perth,-18.2,124.2,Australia
MARIB,MYN,MYN,Asia/Aden,15.48333,45.33333,Yemen
MONKEY MOUNTAIN,MYM,MYM,America/Guyana,4.6,-59.63333,Guyana
MCCALL,MYL,MYL,America/Denver,45.88333,-116.1,United States
MAY CREEK,MYK,MYK,America/Anchorage,61.36667,-142.6833,United States
MATSUYAMA,MYJ,MYJ,Asia/Tokyo,33.81667,132.7,Japan
MURRAY ISLAND,MYI,MYI,TimeZoneNotFound,-9.93333,144.0167,Australia
MARBLE CANYON,MYH,MYH,America/Phoenix,36.81667,-111.65,United States
MAYAGUANA,MYG,MYG,America/Nassau,22.36667,-73.01667,Bahamas
MIYAKEJIMA,MYE,MYE,Asia/Tokyo,34.06667,139.5667,Japan
MALINDI,MYD,MYD,Africa/Nairobi,-3.25,40.08333,Kenya
MARACAY,MYC,MYC,America/Caracas,10.25,-67.6,"Venezuela, Bolivarian Republic of"
MAYUMBA,MYB,MYB,Africa/Libreville,-3.45,10.68333,Gabon
MORUYA,MYA,MYA,Australia/Sydney,-35.9,150.1333,Australia
MARION,MZZ,MZZ,America/New_York,40.48333,-85.68333,United States
MOSSEL BAY,MZY,MZY,Africa/Johannesburg,-34.18333,22.13333,South Africa
MENA,MZX,MZX,Africa/Addis_Ababa,6.35,39.71667,Ethiopia
MECHERIA,MZW,MZW,Africa/Algiers,33.52194,-0.28306,Algeria
Columbia,,YNJ,America/New_York,40.56,-75.06,United States
MULU,MZV,MZV,Asia/Kuala_Lumpur,4.05,114.9333,Malaysia
MUZAFFARPUR,MZU,MZU,Asia/Calcutta,26.33333,85.5,India
MAZATLAN,MZT,MZT,America/Mazatlan,23.23333,-106.4167,Mexico
