Numeric code,Alpha code,Summary,Description,Category
37,GB,CATERING,Late delivery or loading,Aircraft and Ramp Handling
38,GU,ULD,Lack of or serviceability,Aircraft and Ramp Handling
89,,test,,test
35,GC,AIRCRAFT CLEANING,,Aircraft and Ramp Handling
36,GF,FUELLING / DEFUELLING,Fuel supplier,Aircraft and Ramp Handling
0,,AIRLINE INTERNAL CODE,IATA has recommended that these codes are used by individual airlines to develop code definitions that meet their specific requirements.,Others1
39,GT,TECHNICAL EQUIPMENT,"Lack of or breakdown, lack of staff, e.g. pushback",Aircraft and Ramp Handling
1,,AIRLINE INTERNAL CODE,IATA has recommended that these codes are used by individual airlines to develop code definitions that meet their specific requirements.,Others
84,AW,ATFM DUE TO WEATHER AT DESTINATION,,AIR TRAFFIC FLOW MANAGEMENT RESTRICTIONS
85,AS,MANDATORY SECURITY,,AIRPORT AND GOVERNMENTAL AUTHORITIES
82,AX,ATFM DUE TO ATC STAFF / EQUIPMENT ENROUTE,"Reduced capacity caused by industrial action or staff shortage, equipment failure, military exercise or extraordinary demand due to capacity reduction in neighbouring area",AIR TRAFFIC FLOW MANAGEMENT RESTRICTIONS
83,AE,ATFM DUE TO RESTRICTION AT DESTINATION AIRPORT,"Airport and / or runway closed due to obstruction, industrial action, staff shortage, political unrest, noise abatement, night curfew, special flights",AIR TRAFFIC FLOW MANAGEMENT RESTRICTIONS
88,AD,RESTRICTIONS AT DESTINATION AIRPORT,"Airport and / or runway closed due to obstruction industrial action, staff shortage, political unrest, noise abatement, night curfew, special flights",AIRPORT AND GOVERNMENTAL AUTHORITIES
89,AM,RESTRICTIONS AT AIRPORT OF DEPARTURE,"Including air traffic services, start-up and pushback, airport and / or runway closed due to obstruction or weather (restriction due to weather in case of ATFM only) industrial action, staff shortage, political unrest, noise abatement, night curfew, special flights",AIRPORT AND GOVERNMENTAL AUTHORITIES
86,AG,"IMMIGRATION, CUSTOMS, HEALTH",,AIRPORT AND GOVERNMENTAL AUTHORITIES
87,AF,AIRPORT FACILITIES,"Parking stands, ramp congestion, lighting, buildings, gate limitations etc.",AIRPORT AND GOVERNMENTAL AUTHORITIES
41,TD,AIRCRAFT DEFECTS,,Technical and Aircraft Equipment
45,TA,AOG SPARES,To be carried to another station,Technical and Aircraft Equipment
81,AT,ATFM DUE TO ATC EN-ROUTE DEMAND / CAPACITY,Standard demand / capacity problems,AIR TRAFFIC FLOW MANAGEMENT RESTRICTIONS
44,TS,SPARES AND MAINTENANCE EQUIPMENT,Lack of or breakdown,Technical and Aircraft Equipment
43,TN,NON-SCHEDULED MAINTENANCE,Special checks and / or additional works beyond normal maintenance schedule,Technical and Aircraft Equipment
42,TM,SCHEDULED MAINTENANCE,Late release,Technical and Aircraft Equipment
24,CI,INADEQUATE PACKING,,Cargo and Mail
25,CO,OVERSALES,Booking errors,Cargo and Mail
26,CU,LATE PREPARATION IN WAREHOUSE,,Cargo and Mail
27,CE,"DOCUMENTATION, PACKING",,Mail Only
28,CL,LATE POSITIONING,,Mail Only
29,CA,LATE ACCEPTANCE,,Mail Only
69,FB,CAPTAIN REQUEST FOR SECURITY CHECK,Extraordinary requests outside mandatory requirements,Flight Operations and Crewing
68,FA,CABIN CREW ERROR OR SPECIAL REQUEST,Not within operational requirements,Flight Operations and Crewing
71,WO,DEPARTURE STATION,,Weather
72,WT,DESTINATION STATION,,Weather
73,WR,EN-ROUTE OR ALTERNATE,,Weather
75,WI,DE-ICING OF AIRCRAFT,"Removal of ice and/or snow, frost prevention excluding unserviceability of equipment",Weather
76,WS,"REMOVAL OF SNOW, ICE, WATER, AND SAND FROM AIRPORT",,Weather
77,WG,GROUND HANDLING IMPAIRED BY ADVERSE WEATHER CONDITIONS,,Weather
32,GL,LOADING / UNLOADING,"Bulky, special load, lack of loading staff",Aircraft and Ramp Handling
31,GD,LATE / INACCURATE AIRCRAFT DOCUMENTATION,"Weight and balance, general declaration, pax manifest, etc.",Aircraft and Ramp Handling
34,GS,SERVICING EQUIPMENT,"Lack of or breakdown, lack of staff, e.g. steps",Aircraft and Ramp Handling
33,GE,LOADING EQUIPMENT,"Lack of or breakdown, e.g. container pallet loader, lack of staff",Aircraft and Ramp Handling
19,PW,REDUCED MOBILITY,Boarding / deboarding of passengers with reduced mobility.,Passenger and Baggage
17,PC,CATERING ORDER,late or incorrect order given to supplier,Passenger and Baggage
18,PB,BAGGAGE PROCESSING,Late or incorrectly sorted baggage,Passenger and Baggage
92,RT,THROUGH CHECK-IN ERROR,Passenger or baggage,Reactionary
15,PH,BOARDING,"Discrepancies and paging, missing checked-in passenger",Passenger and Baggage
91,RL,LOAD CONNECTION,Awaiting load from another flight,Reactionary
16,PS,COMMERCIAL PUBLICITY/ PASSENGER CONVENIENCE,"VIP, press, ground meals and missing personal items",Passenger and Baggage
13,PE,CHECK-IN ERROR TEST,Passenger and baggage,Passenger and Baggage
14,PO,OVERSALES,Booking errors,Passenger and Baggage
96,RO,OPERATIONS CONTROL,"Re-routing, diVERSION,AIRLINDID,HANDLINGCAT, consolidation, aircraft change for reasons other than technical",Reactionary
95,RC,CREW ROTATION,"Awaiting flight deck, or entire crew, from another flight",Reactionary
94,RS,CABIN CREW ROTATION,Awaiting cabin crew from another flight,Reactionary
93,RA,AIRCRAFT ROTATION,Late arrival of aircraft from another flight or previous sector,Reactionary
99,MX,MISCELLANEOUS,No suitable code; explain reason(s) in plain text,Miscellaneous
98,MO,INDUSTRIAL ACTION OUTSIDE OWN AIRLINE,Excluding Air Traffic Control Services,Miscellaneous
97,MI,INDUSTRIAL ACTION WITHIN OWN AIRLINE,,Miscellaneous
66,FL,LATE CABIN CREW BOARDING OR DEPARTURE PROCEDURES,Other than connection and standby,Flight Operations and Crewing
67,FC,CABIN CREW SHORTAGE,"Sickness, awaiting standby, flight time limitations, valid visa, health documents, etc.",Flight Operations and Crewing
64,FS,FLIGHT DECK CREW SHORTAGE,"Sickness, awaiting standby, flight time limitations, valid visa, health documents, etc.",Flight Operations and Crewing
65,FR,FLIGHT DECK CREW SPECIAL REQUEST,Requests not within operational requirements,Flight Operations and Crewing
62,FF,OPERATIONAL REQUIREMENTS,"Fuel, load alteration",Flight Operations and Crewing
63,FT,LATE CREW BOARDING OR DEPARTURE PROCEDURES,Other than connection and standby (flight deck or entire crew),Flight Operations and Crewing
61,FP,FLIGHT PLAN,"Late completion or change of, flight documentation",Flight Operations and Crewing
23,CC,LATE ACCEPTANCE,,Cargo and Mail
22,CP,LATE POSITIONING,,Cargo and Mail
21,CD,DOCUMENTATION,Errors etc.,Cargo and Mail
6,OA,NO GATE/STAND AVAILABILITY DUE TO OWN AIRLINE ACTIVITY,,Others
2,,AIRLINE INTERNAL CODE,IATA has recommended that these codes are used by individual airlines to develop code definitions that meet their specific requirements.,Others
3,,AIRLINE INTERNAL CODE,IATA has recommended that these codes are used by individual airlines to develop code definitions that meet their specific requirements.,Others
4,,AIRLINE INTERNAL CODE,IATA has recommended that these codes are used by individual airlines to develop code definitions that meet their specific requirements.,Others
5,,AIRLINE INTERNAL CODE,IATA has recommended that these codes are used by individual airlines to develop code definitions that meet their specific requirements.,Others
47,TL,STANDBY AIRCRAFT,Lack of planned stand-by aircraft for technical reasons,Technical and Aircraft Equipment
46,TC,AIRCRAFT CHANGE,For technical reasons,Technical and Aircraft Equipment
48,TV,"SCHEDULED CABIN CONFIGURATION/VERSION,AIRLINDID,HANDLINGCAT ADJUSTMENTS",,Technical and Aircraft Equipment
53,ED,DEPARTURE CONTROL,,EDP/Automated Equipment Failure
54,EC,CARGO PREPARATION/DOCUMENTATION,,EDP/Automated Equipment Failure
55,EF,FLIGHT PLANS,,EDP/Automated Equipment Failure
56,EO,OTHER AUTOMATED SYSTEM,,EDP/Automated Equipment Failure
51,DF,DAMAGE DURING FLIGHT OPERATIONS,"Bird or lightning strike, turbulence, heavy or overweight landing, collisions during taxiing",Damage to Aircraft
52,DG,DAMAGE DURING GROUND OPERATIONS,"Collisions (other than taxiing), loading / offloading damage, towing, contamination, extreme weather conditions",Damage to Aircraft
12,PL,LATE CHECK-IN,Congestion in check-in area,Passenger and Baggage
11,PD,LATE CHECK-INAAA,Acceptance after deadline,Passenger and Baggage
58,,EQUIPAMIENTO TECNICO,OTROS SISTEMAS INFORMATICOS,DAÑO EN LOS AVIONES Y FALLAS EN LOS EQUIPOS
101,AAM,AUTORIDAD MIGRATORIA,,AUTORIDES
106,AAG,GUARDIA NACIONAL,,AUTORIDADES
