"Name","Stand groups","Stand type","Aircraft capacity","Bearing","Arrival security levels","Departure security levels","Dimension","Wingspan allowance","Latitude","Longitude","Equipment types","Gates","Validity period"
"106","Contact Positions , Terminal 1 ","Contact","1","","Domestic","Domestic,International","","","","","","106A","Always valid"
"107","Contact Positions , Terminal 1 ","Contact","1","","Domestic","Domestic,International","","","","","","107A","Always valid"
"108","Contact Positions , Terminal 1 ","Contact","1","","Domestic","Domestic,International","","","","","","108B","Always valid"
"109","Contact Positions , Terminal 1 ","Contact","1","","Domestic","Domestic,International","","","","","","109A , 109B","Always valid"
"110","Contact Positions , Terminal 1 ","Contact","1","","Domestic","Domestic,International","","","","","","110A , 110B","Always valid"
"111","Contact Positions , Terminal 1 ","Contact","1","","Domestic","Domestic,International","","","","","","111A , 111B","Always valid"
"112","International Stands , Contact Positions , Terminal 1 ","Contact","1","","Domestic,International","Domestic,International","","","","","","112B , 112A","Always valid"
"113","International Stands , Contact Positions , Terminal 1 ","Contact","1","","International","International","","","","","B747-100 , A330-200 , A340-600","113A","Always valid"
"114","International Stands , Contact Positions , Terminal 1 ","Contact","1","","International","International","","","","","","114A , 114B","Always valid"
"115","International Stands , Contact Positions , Terminal 1 ","Contact","1","","International","International","","","","","","115B , 115A","Always valid"
"116","International Stands , Contact Positions , Terminal 1 ","Contact","1","","International","International","","","","","","116A , 116B","Always valid"
"132","International Stands , Contact Positions , Terminal 1 ","Contact","1","","International","International","","","","","","132A , 132B","Always valid"
"133","International Stands , Contact Positions , Terminal 1 ","Contact","1","","International","International","","","","","","133A , 133B","Always valid"
"134","International Stands , Contact Positions , Terminal 1 ","Contact","1","","International","International","","","","","","134A , 134B","Always valid"
"501","semi contact positions , Zona A  ","Remote","1","","Domestic","Domestic,International","","","","","","101","Always valid"
"502","semi contact positions , Zona A  ","Remote","1","","Domestic","Domestic,International","","","","","","102","Always valid"
"503","semi contact positions , Zona A  ","Remote","1","","Domestic","Domestic,International","","","","","","103","Always valid"
"504","semi contact positions , Zona A  ","Remote","1","","Domestic","Domestic,International","","","","","","104","Always valid"
"505","semi contact positions , Zona A  ","Remote","1","","Domestic","Domestic,International","","","","","","105","01Sep22 7:00 to +oo"
"506","","Remote","1","","Domestic,International","Domestic,International","","","","","","101 , 104 , 129 , 128 , 130 , 131 , 103","Always valid"
"507","","Remote","1","","Domestic,International","Domestic,International","","","","","","","Always valid"
"508","","Remote","1","","Domestic,International","Domestic,International","","","","","","","Always valid"
"509","","Remote","1","","Domestic,International","Domestic,International","","","","","","129 , 128 , 130 , 131","Always valid"
"510","","Remote","1","","Domestic,International","Domestic,International","","","","","","129 , 128 , 130 , 131","Always valid"
"511","","Remote","1","","Domestic,International","Domestic,International","","","","","","129 , 128 , 130 , 131","Always valid"
"512","","Remote","1","","Domestic,International","Domestic,International","","","","","","129 , 128 , 130 , 131","Always valid"
